actual,depart_date,destination,distance,duration,found_at,gate,number_of_changes,origin,return_date,show_to_affiliates,trip_class,value
True,2020-01-09,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,15391
True,2020-01-07,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,16786
True,2020-01-15,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,14148
True,2020-01-14,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-26,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,9793
True,2020-01-01,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,11013
True,2020-01-17,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,11013
True,2020-01-16,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,15316
True,2020-01-30,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,15316
True,2020-01-19,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,11013
True,2020-01-25,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-16,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,13017
True,2020-01-28,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-18,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-11,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,37603
True,2020-01-12,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,18356
True,2020-01-31,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,9793
True,2020-01-15,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-24,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,9793
True,2020-01-04,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,18619
True,2020-01-02,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,17141
True,2020-01-05,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,21118
True,2020-01-11,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,15391
True,2020-01-22,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,9793
True,2020-01-07,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,0,DXB,,False,0,23844
True,2020-01-04,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,12147
True,2020-01-03,MOW,3686,,2019-10-31 07:55:42.969349,AMADEUS,1,DXB,,False,0,13017
