actual,depart_date,destination,distance,duration,found_at,gate,number_of_changes,origin,return_date,show_to_affiliates,trip_class,value
True,2023-03-19,LED,1795,2040,2023-02-21T16:47:52Z,Kupi.com,3,BEG,,True,0,22231
True,2023-03-15,LED,1795,1805,2023-02-21T16:47:26Z,Kupi.com,2,BEG,,True,0,22622
True,2023-03-03,LED,1795,1640,2023-02-21T17:05:17Z,Kupi.com,2,BEG,,True,0,23117
True,2023-03-02,LED,1795,1610,2023-02-21T17:11:50Z,Kupi.com,2,BEG,,True,0,23346
True,2023-03-05,LED,1795,1945,2023-02-21T17:10:44Z,Kupi.com,2,BEG,,True,0,23414
True,2023-03-08,LED,1795,1805,2023-02-21T16:46:44Z,Kupi.com,2,BEG,,True,0,23819
True,2023-03-27,LED,1795,1960,2023-02-21T16:49:11Z,Kupi.com,2,BEG,,True,0,23917
True,2023-03-01,LED,1795,2040,2023-02-21T17:06:43Z,Kupi.com,3,BEG,,True,0,24216
True,2023-03-25,LED,1795,1925,2023-02-21T16:48:47Z,Kupi.com,2,BEG,,True,0,24379
True,2023-03-06,LED,1795,1945,2023-02-21T16:49:32Z,Kupi.com,2,BEG,,True,0,24488
True,2023-03-29,LED,1795,850,2023-02-21T16:55:58Z,Kupi.com,2,BEG,,True,0,24567
True,2023-03-05,LED,1795,1715,2023-02-21T17:10:44Z,Kupi.com,3,BEG,,True,0,24680
True,2023-03-22,LED,1795,1805,2023-02-21T17:12:43Z,Kupi.com,2,BEG,,True,0,25112
True,2023-03-14,LED,1795,2230,2023-02-21T16:47:18Z,Aviakassa,2,BEG,,True,0,25229
True,2023-03-28,LED,1795,1040,2023-02-21T16:49:22Z,Kupi.com,2,BEG,,True,0,25356
True,2023-03-13,LED,1795,2195,2023-02-21T16:47:13Z,Kupi.com,3,BEG,,True,0,25407
True,2023-03-07,LED,1795,2190,2023-02-21T16:46:34Z,Kupi.com,2,BEG,,True,0,25583
True,2023-03-11,LED,1795,1485,2023-02-21T16:47:04Z,Kupi.com,3,BEG,,True,0,25645
True,2023-03-12,LED,1795,1800,2023-02-21T16:47:08Z,Kupi.com,2,BEG,,True,0,26051
True,2023-03-07,LED,1795,2015,2023-02-21T16:46:34Z,Kupi.com,3,BEG,,True,0,26086
True,2023-03-16,LED,1795,2190,2023-02-21T16:47:32Z,Kupi.com,2,BEG,,True,0,26125
True,2023-03-24,LED,1795,1750,2023-02-21T16:48:36Z,Kupi.com,3,BEG,,True,0,26565
True,2023-03-04,LED,1795,2295,2023-02-21T17:01:40Z,Kupi.com,3,BEG,,True,0,26579
True,2023-03-01,LED,1795,1995,2023-02-21T17:06:43Z,Kupi.com,2,BEG,,True,0,26602
True,2023-03-23,LED,1795,1690,2023-02-21T17:11:52Z,Kupi.com,2,BEG,,True,0,27139
True,2023-03-23,LED,1795,1835,2023-02-21T17:11:52Z,Kupi.com,3,BEG,,True,0,27212
True,2023-03-04,LED,1795,2230,2023-02-21T17:01:40Z,MEGO.travel,2,BEG,,True,0,27290
True,2023-03-27,LED,1795,1715,2023-02-21T16:49:11Z,Kupi.com,3,BEG,,True,0,27389
True,2023-03-10,LED,1795,1585,2023-02-21T16:46:58Z,Kupi.com,2,BEG,,True,0,27440
True,2023-03-14,LED,1795,1045,2023-02-21T16:47:18Z,Aviakassa,1,BEG,,True,0,27449
True,2023-03-19,LED,1795,2040,2023-02-21T16:47:52Z,Kupi.com,3,BEG,,True,0,22231
True,2023-03-15,LED,1795,1805,2023-02-21T16:47:26Z,Kupi.com,2,BEG,,True,0,22622
True,2023-03-03,LED,1795,1640,2023-02-21T17:05:17Z,Kupi.com,2,BEG,,True,0,23117
True,2023-03-02,LED,1795,1610,2023-02-21T17:15:38Z,Kupi.com,2,BEG,,True,0,23346
True,2023-03-05,LED,1795,1945,2023-02-21T17:10:44Z,Kupi.com,2,BEG,,True,0,23414
True,2023-03-08,LED,1795,1805,2023-02-21T16:46:44Z,Kupi.com,2,BEG,,True,0,23819
True,2023-03-27,LED,1795,1960,2023-02-21T16:49:11Z,Kupi.com,2,BEG,,True,0,23917
True,2023-03-01,LED,1795,2040,2023-02-21T17:06:43Z,Kupi.com,3,BEG,,True,0,24216
True,2023-03-25,LED,1795,1925,2023-02-21T16:48:47Z,Kupi.com,2,BEG,,True,0,24379
True,2023-03-06,LED,1795,1945,2023-02-21T16:49:32Z,Kupi.com,2,BEG,,True,0,24488
True,2023-03-29,LED,1795,850,2023-02-21T16:55:58Z,Kupi.com,2,BEG,,True,0,24567
True,2023-03-05,LED,1795,1715,2023-02-21T17:10:44Z,Kupi.com,3,BEG,,True,0,24680
True,2023-03-22,LED,1795,1805,2023-02-21T17:12:43Z,Kupi.com,2,BEG,,True,0,25112
True,2023-03-14,LED,1795,2230,2023-02-21T16:47:18Z,Aviakassa,2,BEG,,True,0,25229
True,2023-03-28,LED,1795,1040,2023-02-21T16:49:22Z,Kupi.com,2,BEG,,True,0,25356
True,2023-03-13,LED,1795,2195,2023-02-21T16:47:13Z,Kupi.com,3,BEG,,True,0,25407
True,2023-03-07,LED,1795,2190,2023-02-21T16:46:34Z,Kupi.com,2,BEG,,True,0,25583
True,2023-03-12,LED,1795,1800,2023-02-21T16:47:08Z,Kupi.com,2,BEG,,True,0,26051
True,2023-03-07,LED,1795,2015,2023-02-21T16:46:34Z,Kupi.com,3,BEG,,True,0,26086
True,2023-03-16,LED,1795,2190,2023-02-21T16:47:32Z,Kupi.com,2,BEG,,True,0,26125
True,2023-03-24,LED,1795,1750,2023-02-21T16:48:36Z,Kupi.com,3,BEG,,True,0,26565
True,2023-03-04,LED,1795,2295,2023-02-21T17:01:40Z,Kupi.com,3,BEG,,True,0,26579
True,2023-03-01,LED,1795,1995,2023-02-21T17:06:43Z,Kupi.com,2,BEG,,True,0,26602
True,2023-03-23,LED,1795,1690,2023-02-21T17:11:52Z,Kupi.com,2,BEG,,True,0,27139
True,2023-03-23,LED,1795,1835,2023-02-21T17:11:52Z,Kupi.com,3,BEG,,True,0,27212
True,2023-03-04,LED,1795,2230,2023-02-21T17:01:40Z,MEGO.travel,2,BEG,,True,0,27290
True,2023-03-27,LED,1795,1715,2023-02-21T16:49:11Z,Kupi.com,3,BEG,,True,0,27389
True,2023-03-10,LED,1795,1585,2023-02-21T16:46:58Z,Kupi.com,2,BEG,,True,0,27440
True,2023-03-14,LED,1795,1045,2023-02-21T16:47:18Z,Aviakassa,1,BEG,,True,0,27449
True,2023-03-18,LED,1795,175,2023-02-21T17:11:16Z,Aviakassa,0,BEG,,True,0,28089
True,2023-03-19,LED,1795,2040,2023-02-21T16:47:52Z,Kupi.com,3,BEG,,True,0,22231
True,2023-03-15,LED,1795,1805,2023-02-21T16:47:26Z,Kupi.com,2,BEG,,True,0,22622
True,2023-03-03,LED,1795,1640,2023-02-21T17:05:17Z,Kupi.com,2,BEG,,True,0,23117
True,2023-03-02,LED,1795,1610,2023-02-21T17:15:38Z,Kupi.com,2,BEG,,True,0,23346
True,2023-03-05,LED,1795,1945,2023-02-21T17:10:44Z,Kupi.com,2,BEG,,True,0,23414
True,2023-03-08,LED,1795,1805,2023-02-21T16:46:44Z,Kupi.com,2,BEG,,True,0,23819
True,2023-03-27,LED,1795,1960,2023-02-21T16:49:11Z,Kupi.com,2,BEG,,True,0,23917
True,2023-03-01,LED,1795,2040,2023-02-21T17:06:43Z,Kupi.com,3,BEG,,True,0,24216
True,2023-03-25,LED,1795,1925,2023-02-21T16:48:47Z,Kupi.com,2,BEG,,True,0,24379
True,2023-03-06,LED,1795,1945,2023-02-21T16:49:32Z,Kupi.com,2,BEG,,True,0,24488
True,2023-03-29,LED,1795,850,2023-02-21T16:55:58Z,Kupi.com,2,BEG,,True,0,24567
True,2023-03-05,LED,1795,1715,2023-02-21T17:10:44Z,Kupi.com,3,BEG,,True,0,24680
True,2023-03-22,LED,1795,1805,2023-02-21T17:12:43Z,Kupi.com,2,BEG,,True,0,25112
True,2023-03-14,LED,1795,2230,2023-02-21T16:47:18Z,Aviakassa,2,BEG,,True,0,25229
True,2023-03-28,LED,1795,1040,2023-02-21T16:49:22Z,Kupi.com,2,BEG,,True,0,25356
True,2023-03-13,LED,1795,2195,2023-02-21T16:47:13Z,Kupi.com,3,BEG,,True,0,25407
True,2023-03-07,LED,1795,2190,2023-02-21T16:46:34Z,Kupi.com,2,BEG,,True,0,25583
True,2023-03-12,LED,1795,1800,2023-02-21T16:47:08Z,Kupi.com,2,BEG,,True,0,26051
True,2023-03-07,LED,1795,2015,2023-02-21T16:46:34Z,Kupi.com,3,BEG,,True,0,26086
True,2023-03-16,LED,1795,2190,2023-02-21T16:47:32Z,Kupi.com,2,BEG,,True,0,26125
